"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"AEM1AN-COA - Leitura e Produção de Textos";"1";"24";"4";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"2";"16";"12";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"3";"26";"2";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"4";"18";"10";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"5";"21";"7";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"6";"12";"16";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"7";"26";"2";"Prova Objetiva";" - "
"AEM1AN-COA - Leitura e Produção de Textos";"8";"24";"4";"Prova Objetiva";" - "
