Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
41;Título está baixado. Matrícula [201515147] Número [146449            ] * Linha: 2192; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109189] Linha: 2192;
42;Título está baixado. Matrícula [201508469] Número [152427            ] * Linha: 2793; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101724] Linha: 2793;
43;Título está baixado. Matrícula [201508792] Número [156937            ] * Linha: 2794; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101726] Linha: 2794;
44;Título está baixado. Matrícula [201512951] Número [147531            ] * Linha: 2795; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101750] Linha: 2795;
45;Título está baixado. Matrícula [201504582] Número [149236            ] * Linha: 2796; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101754] Linha: 2796;
46;Título está baixado. Matrícula [201514079] Número [148506            ] * Linha: 2797; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101763] Linha: 2797;
47;Título está baixado. Matrícula [201509839] Número [149376            ] * Linha: 2798; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101771] Linha: 2798;
48;Título está baixado. Matrícula [201509845] Número [156928            ] * Linha: 2799; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101773] Linha: 2799;
49;Título está baixado. Matrícula [201509134] Número [143607            ] * Linha: 2800; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101779] Linha: 2800;
50;Título está baixado. Matrícula [201511684] Número [156763            ] * Linha: 2801; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101783] Linha: 2801;
51;Título está baixado. Matrícula [201512756] Número [152575            ] * Linha: 2802; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101789] Linha: 2802;
52;Título está baixado. Matrícula [201510748] Número [145652            ] * Linha: 2803; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101795] Linha: 2803;
53;Título está baixado. Matrícula [201506159] Número [142225            ] * Linha: 2804; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101808] Linha: 2804;
54;Título está baixado. Matrícula [201504284] Número [153128            ] * Linha: 2805; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101851] Linha: 2805;
55;Título está baixado. Matrícula [201511711] Número [143687            ] * Linha: 2806; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101853] Linha: 2806;
56;Título está baixado. Matrícula [201505415] Número [152918            ] * Linha: 2807; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101872] Linha: 2807;
57;Título está baixado. Matrícula [201507253] Número [152299            ] * Linha: 2808; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101876] Linha: 2808;
58;Título está baixado. Matrícula [201508349] Número [155522            ] * Linha: 2809; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101882] Linha: 2809;
59;Título está baixado. Matrícula [201505266] Número [146335            ] * Linha: 2810; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101887] Linha: 2810;
60;Título está baixado. Matrícula [201505431] Número [142268            ] * Linha: 2811; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101916] Linha: 2811;
