Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
313;Título está baixado. Matrícula [201500585] Número [157157            ] * Linha: 3448; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076476] Linha: 3448;
314;Título está baixado. Matrícula [201501873] Número [142480            ] * Linha: 3449; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076496] Linha: 3449;
315;Título está baixado. Matrícula [201502460] Número [156612            ] * Linha: 3450; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076500] Linha: 3450;
316;Título está baixado. Matrícula [201505729] Número [149770            ] * Linha: 3451; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076508] Linha: 3451;
317;Título está baixado. Matrícula [201505890] Número [142120            ] * Linha: 3452; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076512] Linha: 3452;
318;Título está baixado. Matrícula [201517312] Número [142278            ] * Linha: 3453; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076520] Linha: 3453;
319;Título está baixado. Matrícula [201517329] Número [148060            ] * Linha: 3454; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076522] Linha: 3454;
320;Título está baixado. Matrícula [201510908] Número [142490            ] * Linha: 3455; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076536] Linha: 3455;
321;Título está baixado. Matrícula [201511713] Número [152075            ] * Linha: 3456; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076541] Linha: 3456;
322;Título está baixado. Matrícula [201507272] Número [155639            ] * Linha: 3457; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076547] Linha: 3457;
323;Título está baixado. Matrícula [201504103] Número [150427            ] * Linha: 3458; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076554] Linha: 3458;
324;Título está baixado. Matrícula [201507135] Número [144739            ] * Linha: 3459; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076575] Linha: 3459;
325;Título está baixado. Matrícula [201516232] Número [149809            ] * Linha: 3460; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076583] Linha: 3460;
326;Título está baixado. Matrícula [201512422] Número [141199            ] * Linha: 3461; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076597] Linha: 3461;
327;Título está baixado. Matrícula [201517085] Número [158186            ] * Linha: 4024; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053050] Linha: 4024;
328;Título está baixado. Matrícula [201517397] Número [158021            ] * Linha: 4025; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053052] Linha: 4025;
329;Título está baixado. Matrícula [201302255] Número [155141            ] * Linha: 4026; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062887] Linha: 4026;
330;Título está baixado. Matrícula [201312432] Número [155260            ] * Linha: 4027; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062930] Linha: 4027;
331;Título está baixado. Matrícula [201318641] Número [155363            ] * Linha: 4028; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22062958] Linha: 4028;
332;Título está baixado. Matrícula [201301368] Número [153694            ] * Linha: 4029; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063003] Linha: 4029;
333;Título está baixado. Matrícula [201314626] Número [148668            ] * Linha: 4030; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063076] Linha: 4030;
334;Título está baixado. Matrícula [201301914] Número [148885            ] * Linha: 4031; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063099] Linha: 4031;
335;Título está baixado. Matrícula [201301003] Número [149336            ] * Linha: 4032; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063105] Linha: 4032;
336;Título está baixado. Matrícula [201301981] Número [152955            ] * Linha: 4033; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063131] Linha: 4033;
337;Título está baixado. Matrícula [201312847] Número [145122            ] * Linha: 4034; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063136] Linha: 4034;
338;Título está baixado. Matrícula [201312193] Número [156063            ] * Linha: 4035; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063138] Linha: 4035;
339;Título está baixado. Matrícula [201312540] Número [150374            ] * Linha: 4036; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063157] Linha: 4036;
340;Título está baixado. Matrícula [201313422] Número [155079            ] * Linha: 4037; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063159] Linha: 4037;
341;Título está baixado. Matrícula [201314237] Número [142404            ] * Linha: 4038; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063168] Linha: 4038;
342;Título está baixado. Matrícula [201313862] Número [150738            ] * Linha: 4039; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063179] Linha: 4039;
343;Título está baixado. Matrícula [201308741] Número [147713            ] * Linha: 4040; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063198] Linha: 4040;
344;Título está baixado. Matrícula [201308327] Número [145555            ] * Linha: 4041; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063208] Linha: 4041;
345;Título está baixado. Matrícula [201308804] Número [143213            ] * Linha: 4042; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063210] Linha: 4042;
346;Título está baixado. Matrícula [201313495] Número [144696            ] * Linha: 4043; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063260] Linha: 4043;
347;Título está baixado. Matrícula [201314898] Número [150577            ] * Linha: 4044; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063265] Linha: 4044;
348;Título está baixado. Matrícula [201314315] Número [144473            ] * Linha: 4045; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063279] Linha: 4045;
349;Título está baixado. Matrícula [201307282] Número [147690            ] * Linha: 4046; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063296] Linha: 4046;
350;Título está baixado. Matrícula [201309108] Número [154891            ] * Linha: 4047; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063302] Linha: 4047;
351;Título está baixado. Matrícula [201307306] Número [146906            ] * Linha: 4048; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063304] Linha: 4048;
352;Título está baixado. Matrícula [201312609] Número [153361            ] * Linha: 4049; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063313] Linha: 4049;
353;Título está baixado. Matrícula [201314351] Número [146669            ] * Linha: 4050; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063350] Linha: 4050;
354;Título está baixado. Matrícula [201314382] Número [151517            ] * Linha: 4051; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063361] Linha: 4051;
355;Título está baixado. Matrícula [201308909] Número [145567            ] * Linha: 4052; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063401] Linha: 4052;
356;Título está baixado. Matrícula [201307382] Número [155612            ] * Linha: 4053; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063403] Linha: 4053;
357;Título está baixado. Matrícula [201308502] Número [144611            ] * Linha: 4054; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22063405] Linha: 4054;
358;Título está baixado. Matrícula [201518448] Número [157768            ] * Linha: 4055; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053059] Linha: 4055;
359;Título está baixado. Matrícula [201401037] Número [156918            ] * Linha: 4056; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22060801] Linha: 4056;
360;Título está baixado. Matrícula [201517022] Número [157959            ] * Linha: 4057; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053061] Linha: 4057;
361;Título está baixado. Matrícula [201517838] Número [157769            ] * Linha: 4058; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053088] Linha: 4058;
362;Título está baixado. Matrícula [201517193] Número [158023            ] * Linha: 4059; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053090] Linha: 4059;
363;Título está baixado. Matrícula [201401052] Número [154567            ] * Linha: 4060; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22060803] Linha: 4060;
364;Título está baixado. Matrícula [201401059] Número [148184            ] * Linha: 4061; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22060806] Linha: 4061;
365;Título está baixado. Matrícula [201401065] Número [143882            ] * Linha: 4062; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22060809] Linha: 4062;
366;Título está baixado. Matrícula [201512306] Número [158188            ] * Linha: 4063; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053092] Linha: 4063;
367;Título está baixado. Matrícula [201516451] Número [157771            ] * Linha: 4064; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22053098] Linha: 4064;
368;Título está baixado. Matrícula [81524419] Número [157392            ] * Linha: 4626; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051260] Linha: 4626;
369;Título está baixado. Matrícula [81523806] Número [157650            ] * Linha: 4627; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051295] Linha: 4627;
370;Título está baixado. Matrícula [81523813] Número [157838            ] * Linha: 4628; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051300] Linha: 4628;
371;Título está baixado. Matrícula [81523560] Número [157653            ] * Linha: 4629; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051302] Linha: 4629;
372;Título está baixado. Matrícula [81523569] Número [157968            ] * Linha: 4630; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051308] Linha: 4630;
373;Título está baixado. Matrícula [81523573] Número [157522            ] * Linha: 4631; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051311] Linha: 4631;
374;Título está baixado. Matrícula [81522686] Número [157860            ] * Linha: 4632; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051345] Linha: 4632;
375;Título está baixado. Matrícula [81522688] Número [157887            ] * Linha: 4633; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051347] Linha: 4633;
376;Título está baixado. Matrícula [81523825] Número [157401            ] * Linha: 4634; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051365] Linha: 4634;
377;Título está baixado. Matrícula [81523831] Número [158035            ] * Linha: 4635; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051375] Linha: 4635;
378;Título está baixado. Matrícula [81524058] Número [157933            ] * Linha: 4636; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051381] Linha: 4636;
379;Título está baixado. Matrícula [81522708] Número [157363            ] * Linha: 4637; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051401] Linha: 4637;
380;Título está baixado. Matrícula [81523126] Número [157520            ] * Linha: 4638; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051405] Linha: 4638;
381;Título está baixado. Matrícula [81522719] Número [158066            ] * Linha: 4639; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051421] Linha: 4639;
382;Título está baixado. Matrícula [81522729] Número [157739            ] * Linha: 4640; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051425] Linha: 4640;
383;Título está baixado. Matrícula [81523841] Número [157445            ] * Linha: 4641; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051427] Linha: 4641;
384;Título está baixado. Matrícula [81524018] Número [157777            ] * Linha: 4642; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051435] Linha: 4642;
385;Título está baixado. Matrícula [81522841] Número [157861            ] * Linha: 4643; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051443] Linha: 4643;
386;Título está baixado. Matrícula [81522134] Número [158178            ] * Linha: 4644; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051461] Linha: 4644;
387;Título está baixado. Matrícula [81522450] Número [157509            ] * Linha: 4645; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051475] Linha: 4645;
388;Título está baixado. Matrícula [201312769] Número [149019            ] * Linha: 4646; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054435] Linha: 4646;
389;Título está baixado. Matrícula [201313112] Número [150324            ] * Linha: 4647; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054441] Linha: 4647;
390;Título está baixado. Matrícula [201318632] Número [148582            ] * Linha: 4648; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054465] Linha: 4648;
391;Título está baixado. Matrícula [201318205] Número [149342            ] * Linha: 4649; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054469] Linha: 4649;
392;Título está baixado. Matrícula [81522457] Número [157514            ] * Linha: 4650; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051485] Linha: 4650;
393;Título está baixado. Matrícula [81524524] Número [157656            ] * Linha: 4651; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22051497] Linha: 4651;
394;Título está baixado. Matrícula [201301395] Número [150121            ] * Linha: 4652; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054484] Linha: 4652;
395;Título está baixado. Matrícula [201302322] Número [148942            ] * Linha: 4653; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054486] Linha: 4653;
396;Título está baixado. Matrícula [201511793] Número [158142            ] * Linha: 4654; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052463] Linha: 4654;
397;Título está baixado. Matrícula [201511948] Número [157432            ] * Linha: 4655; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052472] Linha: 4655;
398;Título está baixado. Matrícula [201517268] Número [157955            ] * Linha: 4656; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052482] Linha: 4656;
399;Título está baixado. Matrícula [201517082] Número [158169            ] * Linha: 4657; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052487] Linha: 4657;
400;Título está baixado. Matrícula [201517916] Número [157747            ] * Linha: 4658; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052491] Linha: 4658;
401;Título está baixado. Matrícula [201518259] Número [157940            ] * Linha: 4659; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052493] Linha: 4659;
402;Título está baixado. Matrícula [201513525] Número [158057            ] * Linha: 4660; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052532] Linha: 4660;
403;Título está baixado. Matrícula [201309064] Número [157796            ] * Linha: 4661; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052547] Linha: 4661;
404;Título está baixado. Matrícula [201407226] Número [158117            ] * Linha: 4662; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052557] Linha: 4662;
405;Título está baixado. Matrícula [201509719] Número [158218            ] * Linha: 4663; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052569] Linha: 4663;
406;Título está baixado. Matrícula [201505620] Número [158251            ] * Linha: 4664; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052599] Linha: 4664;
407;Título está baixado. Matrícula [201517542] Número [157459            ] * Linha: 4665; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22052629] Linha: 4665;
408;Título está baixado. Matrícula [201301435] Número [156051            ] * Linha: 4666; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22054511] Linha: 4666;
409;Título está baixado. Matrícula [201308600] Número [154062            ] * Linha: 2232; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109747] Linha: 2232;
410;Título está baixado. Matrícula [201310283] Número [143209            ] * Linha: 2233; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109799] Linha: 2233;
411;Título está baixado. Matrícula [201309387] Número [153585            ] * Linha: 2234; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109805] Linha: 2234;
412;Título está baixado. Matrícula [201102687] Número [143528            ] * Linha: 2235; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109817] Linha: 2235;
413;Título está baixado. Matrícula [201208505] Número [142164            ] * Linha: 2236; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108299] Linha: 2236;
414;Título está baixado. Matrícula [201208154] Número [148545            ] * Linha: 2237; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108313] Linha: 2237;
415;Título está baixado. Matrícula [201209327] Número [144484            ] * Linha: 2238; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108319] Linha: 2238;
416;Título está baixado. Matrícula [201008257] Número [151702            ] * Linha: 2239; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109839] Linha: 2239;
417;Título está baixado. Matrícula [201210227] Número [154282            ] * Linha: 2240; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108324] Linha: 2240;
418;Título está baixado. Matrícula [201204564] Número [141621            ] * Linha: 2241; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108349] Linha: 2241;
419;Título está baixado. Matrícula [201203667] Número [153282            ] * Linha: 2242; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108362] Linha: 2242;
420;Título está baixado. Matrícula [201204276] Número [146234            ] * Linha: 2243; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108406] Linha: 2243;
421;Título está baixado. Matrícula [201208384] Número [144193            ] * Linha: 2244; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108410] Linha: 2244;
422;Título está baixado. Matrícula [201205612] Número [153526            ] * Linha: 2245; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108412] Linha: 2245;
423;Título está baixado. Matrícula [201206238] Número [155300            ] * Linha: 2246; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108438] Linha: 2246;
424;Título está baixado. Matrícula [201201190] Número [152948            ] * Linha: 2247; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108440] Linha: 2247;
425;Título está baixado. Matrícula [201202076] Número [151726            ] * Linha: 2248; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108466] Linha: 2248;
426;Título está baixado. Matrícula [201201649] Número [141314            ] * Linha: 2249; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108468] Linha: 2249;
427;Título está baixado. Matrícula [201212339] Número [144469            ] * Linha: 2250; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108497] Linha: 2250;
428;Título está baixado. Matrícula [201010129] Número [145119            ] * Linha: 2251; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108533] Linha: 2251;
429;Título está baixado. Matrícula [201110561] Número [143829            ] * Linha: 2252; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108572] Linha: 2252;
430;Título está baixado. Matrícula [201108822] Número [148803            ] * Linha: 2253; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108574] Linha: 2253;
431;Título está baixado. Matrícula [201100098] Número [144376            ] * Linha: 2254; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108576] Linha: 2254;
432;Título está baixado. Matrícula [201103543] Número [151340            ] * Linha: 2255; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108590] Linha: 2255;
433;Título está baixado. Matrícula [201003779] Número [146298            ] * Linha: 2256; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108600] Linha: 2256;
434;Título está baixado. Matrícula [201101073] Número [143410            ] * Linha: 2257; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108602] Linha: 2257;
435;Título está baixado. Matrícula [201102787] Número [142870            ] * Linha: 2258; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108626] Linha: 2258;
436;Título está baixado. Matrícula [201101998] Número [146154            ] * Linha: 2259; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108634] Linha: 2259;
437;Título está baixado. Matrícula [201005507] Número [144009            ] * Linha: 2260; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108667] Linha: 2260;
438;Título está baixado. Matrícula [201005171] Número [143437            ] * Linha: 2261; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108669] Linha: 2261;
439;Título está baixado. Matrícula [201000372] Número [143401            ] * Linha: 2262; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108676] Linha: 2262;
440;Título está baixado. Matrícula [201415732] Número [147955            ] * Linha: 2263; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108703] Linha: 2263;
441;Título está baixado. Matrícula [201406780] Número [144300            ] * Linha: 2264; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108723] Linha: 2264;
442;Título está baixado. Matrícula [201406298] Número [155454            ] * Linha: 2265; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108726] Linha: 2265;
443;Título está baixado. Matrícula [201406329] Número [143828            ] * Linha: 2266; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108765] Linha: 2266;
444;Título está baixado. Matrícula [201406444] Número [155133            ] * Linha: 2267; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108819] Linha: 2267;
445;Título está baixado. Matrícula [201408169] Número [147971            ] * Linha: 2268; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22108827] Linha: 2268;
446;Título está baixado. Matrícula [201108333] Número [143556            ] * Linha: 2269; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109841] Linha: 2269;
447;Título está baixado. Matrícula [201105277] Número [153114            ] * Linha: 2270; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109850] Linha: 2270;
448;Título está baixado. Matrícula [201100510] Número [142919            ] * Linha: 2271; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109858] Linha: 2271;
449;Título está baixado. Matrícula [201103570] Número [144543            ] * Linha: 2272; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22109860] Linha: 2272;
450;Título está baixado. Matrícula [201407060] Número [141385            ] * Linha: 2875; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22099994] Linha: 2875;
451;Título está baixado. Matrícula [201306331] Número [146615            ] * Linha: 2876; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100013] Linha: 2876;
452;Título está baixado. Matrícula [201305098] Número [150022            ] * Linha: 2877; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100017] Linha: 2877;
453;Título está baixado. Matrícula [201300214] Número [154569            ] * Linha: 2878; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100040] Linha: 2878;
454;Título está baixado. Matrícula [201207131] Número [144750            ] * Linha: 2879; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100713] Linha: 2879;
455;Título está baixado. Matrícula [201214310] Número [149075            ] * Linha: 2880; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100730] Linha: 2880;
456;Título está baixado. Matrícula [201300241] Número [145818            ] * Linha: 2881; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100044] Linha: 2881;
457;Título está baixado. Matrícula [201300680] Número [149619            ] * Linha: 2882; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100050] Linha: 2882;
458;Título está baixado. Matrícula [201303870] Número [151792            ] * Linha: 2883; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100060] Linha: 2883;
459;Título está baixado. Matrícula [201304436] Número [146818            ] * Linha: 2884; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100062] Linha: 2884;
460;Título está baixado. Matrícula [201202126] Número [155860            ] * Linha: 2885; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100069] Linha: 2885;
461;Título está baixado. Matrícula [201300262] Número [155182            ] * Linha: 2886; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100081] Linha: 2886;
462;Título está baixado. Matrícula [201300291] Número [150040            ] * Linha: 2887; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100086] Linha: 2887;
463;Título está baixado. Matrícula [201304493] Número [141458            ] * Linha: 2888; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100100] Linha: 2888;
464;Título está baixado. Matrícula [201213279] Número [145577            ] * Linha: 2889; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100147] Linha: 2889;
465;Título está baixado. Matrícula [201301121] Número [145488            ] * Linha: 2890; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100168] Linha: 2890;
466;Título está baixado. Matrícula [201301597] Número [143166            ] * Linha: 2891; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100175] Linha: 2891;
467;Título está baixado. Matrícula [201203420] Número [151790            ] * Linha: 2892; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100189] Linha: 2892;
468;Título está baixado. Matrícula [201202916] Número [150266            ] * Linha: 2893; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100191] Linha: 2893;
469;Título está baixado. Matrícula [201212967] Número [146776            ] * Linha: 2894; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100199] Linha: 2894;
470;Título está baixado. Matrícula [201213302] Número [149237            ] * Linha: 2895; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100203] Linha: 2895;
471;Título está baixado. Matrícula [201213309] Número [141132            ] * Linha: 2896; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100205] Linha: 2896;
472;Título está baixado. Matrícula [201212602] Número [148968            ] * Linha: 2897; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100207] Linha: 2897;
473;Título está baixado. Matrícula [201300035] Número [154651            ] * Linha: 2898; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100227] Linha: 2898;
474;Título está baixado. Matrícula [201300472] Número [153787            ] * Linha: 2899; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100229] Linha: 2899;
475;Título está baixado. Matrícula [201201501] Número [148244            ] * Linha: 2900; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100256] Linha: 2900;
476;Título está baixado. Matrícula [201213334] Número [149647            ] * Linha: 2901; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100278] Linha: 2901;
477;Título está baixado. Matrícula [201213335] Número [156301            ] * Linha: 2902; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100280] Linha: 2902;
478;Título está baixado. Matrícula [201300492] Número [153529            ] * Linha: 2903; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100296] Linha: 2903;
479;Título está baixado. Matrícula [201300066] Número [156491            ] * Linha: 2904; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100298] Linha: 2904;
480;Título está baixado. Matrícula [201300535] Número [146726            ] * Linha: 2905; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100300] Linha: 2905;
481;Título está baixado. Matrícula [201302668] Número [141337            ] * Linha: 2906; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100304] Linha: 2906;
482;Título está baixado. Matrícula [201201990] Número [154850            ] * Linha: 2907; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100330] Linha: 2907;
483;Título está baixado. Matrícula [201208921] Número [151999            ] * Linha: 2908; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100334] Linha: 2908;
484;Título está baixado. Matrícula [201302714] Número [152993            ] * Linha: 2909; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100393] Linha: 2909;
485;Título está baixado. Matrícula [201301739] Número [146162            ] * Linha: 2910; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100404] Linha: 2910;
486;Título está baixado. Matrícula [201209216] Número [153636            ] * Linha: 2911; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100418] Linha: 2911;
487;Título está baixado. Matrícula [201212764] Número [153460            ] * Linha: 2912; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22100438] Linha: 2912;
488;Título está baixado. Matrícula [201505426] Número [149644            ] * Linha: 3462; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076599] Linha: 3462;
489;Título está baixado. Matrícula [201508018] Número [141044            ] * Linha: 3463; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076606] Linha: 3463;
490;Título está baixado. Matrícula [201514551] Número [152032            ] * Linha: 3464; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076633] Linha: 3464;
491;Título está baixado. Matrícula [201509309] Número [156835            ] * Linha: 3465; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076648] Linha: 3465;
492;Título está baixado. Matrícula [201504465] Número [149235            ] * Linha: 3466; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076652] Linha: 3466;
