"COD_ALUNO";"COD_SOLICITACAO";"SOLICITACAO PARA CANCELAR";"DSC_MOTIVO"
"262811";"4992588";"4992588";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31023804. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7151802."
"850784";"4992594";"4992594";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 201517553. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22270085,22270095."
"188982";"4992573";"4992573";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 410135034. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8424663,8656821."
"487301";"4992583";"4992583";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 113114280. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8577848,8577850."
"910020";"4990218";"4990218";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31522381. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20260733."
"570125";"4995881";"4995881";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314110556. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11682005,11997321."
"590478";"4985818";"4985818";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41412520. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20448206,20821639."
"265727";"4992080";"4992080";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11023887. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20380687."
"384506";"4990221";"4990221";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31215260. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7558280."
"246829";"4992586";"4992586";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 1010878. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11755528,11978248."
"1139595";"4992592";"4992592";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 81514781. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22950660."
"346032";"4992585";"4992585";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11119252. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8574870,8661678."
"934890";"4990219";"4990219";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31528442. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20666524."
"1139595";"4988090";"4988090";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 81514781. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22950660."
"445817";"4983396";"4983396";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 51310860. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9686802."
"393193";"4992574";"4992574";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11217159. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8595715,8653776."
"478980";"4992578";"4992578";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 113111377. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 10492895."
"675739";"4990212";"4990212";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 315113404. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497381,20813862."
"584560";"4969400";"4969400";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314117441. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9758168."
"626958";"4983402";"4983402";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41421048. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11700122."
